STATUS_current,Tracker File Name_current,question #,issues,ID,QUESTIONS_current,image,
APPROVED,Data Set #3-14 report - Frank Stimson.csv,14,all good,Data Set #3-14 report - Frank Stimson.csv -Q14,What were the total wages for carryover personal days in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,15,all good,Data Set #3-14 report - Frank Stimson.csv -Q15,Which employee has the most number of personal days left in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,2,all good,Data Set #3-14 report - Frank Stimson.csv -Q2,How many days of personal time does an employee get after working 9 years at the company in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,3,all good,Data Set #3-14 report - Frank Stimson.csv -Q3,How many employees had carryover personal days in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,4,all good,Data Set #3-14 report - Frank Stimson.csv -Q4,How many employees have between 14 -19 days of personal time left to take in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,5,all good,Data Set #3-14 report - Frank Stimson.csv -Q5,How many employees have over 20 days of personal time left to take in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,6,all good,Data Set #3-14 report - Frank Stimson.csv -Q6,How many employees have taken more than the allocated number of personal days in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,7,all good,Data Set #3-14 report - Frank Stimson.csv -Q7,How many employees have used all their personal days for 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,8,all good,Data Set #3-14 report - Frank Stimson.csv -Q8,How many employees received bonus personal days in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-14 report - Frank Stimson.csv,9,all good,Data Set #3-14 report - Frank Stimson.csv -Q9,How many employees received the extra 15 days of personal time in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-14 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,1,all good,Data Set #3-15 report - Frank Stimson.csv -Q1,How many employees does the company pay for parking/transit in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,10,all good,Data Set #3-15 report - Frank Stimson.csv -Q10,"Of the employees that don't have parking/transit in 2016, what is the percentage of race identifier 5?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,11,all good,Data Set #3-15 report - Frank Stimson.csv -Q11,What does a single person pay for parking/transit in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,12,all good,Data Set #3-15 report - Frank Stimson.csv -Q12,What does the head of household pay for parking/transit in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,13,all good,Data Set #3-15 report - Frank Stimson.csv -Q13,What does the married filing jointly category pay for parking/transit in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,14,all good,Data Set #3-15 report - Frank Stimson.csv -Q14,What does the married filing separately category pay for parking/transit in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,15,all good,Data Set #3-15 report - Frank Stimson.csv -Q15,What is the percentage of employees that don't have parking/transit as a total number of employees for 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,2,all good,Data Set #3-15 report - Frank Stimson.csv -Q2,How many employees don't have parking/transit for 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,3,all good,Data Set #3-15 report - Frank Stimson.csv -Q3,"Of the employees that don't have parking/transit in 2016, is their income above $120,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,4,all good,Data Set #3-15 report - Frank Stimson.csv -Q4,"Of the employees that don't have parking/transit in 2016, is their income above $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,5,all good,Data Set #3-15 report - Frank Stimson.csv -Q5,"Of the employees that don't have parking/transit in 2016, what is the percentage of gender id 1?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,6,all good,Data Set #3-15 report - Frank Stimson.csv -Q6,"Of the employees that don't have parking/transit in 2016, what is the percentage of gender id 2?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,7,all good,Data Set #3-15 report - Frank Stimson.csv -Q7,"Of the employees that don't have parking/transit in 2016, what is the percentage of race identifier 1?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,8,all good,Data Set #3-15 report - Frank Stimson.csv -Q8,"Of the employees that don't have parking/transit in 2016, what is the percentage of race identifier 2?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-15 report - Frank Stimson.csv,9,all good,Data Set #3-15 report - Frank Stimson.csv -Q9,"Of the employees that don't have parking/transit in 2016, what is the percentage of race identifier 3?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-15 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,1,all good,Data Set #3-16 report - Frank Stimson.csv -Q1,How many employees are having their wages garnished in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,10,all good,Data Set #3-16 report - Frank Stimson.csv -Q10,How many employees will have paid off the garnishment amount in 2019 or later?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,11,all good,Data Set #3-16 report - Frank Stimson.csv -Q11,What was the average deduction in dollars for 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,12,all good,Data Set #3-16 report - Frank Stimson.csv -Q12,What was the average percentage deduction from net salary in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,13,all good,Data Set #3-16 report - Frank Stimson.csv -Q13,What were the average net wages for 2016 in week 28?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,14,all good,Data Set #3-16 report - Frank Stimson.csv -Q14,What will be the number of vacation days in 2016 forfeited?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,15,all good,Data Set #3-16 report - Frank Stimson.csv -Q15,What will be the number of vacation days in 2016 rolled over to 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,2,all good,Data Set #3-16 report - Frank Stimson.csv -Q2,"How many employees chose ""C= cash out"" for their 2016 end-of-year personal days option?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,3,all good,Data Set #3-16 report - Frank Stimson.csv -Q3,"How many employees chose ""C= cash out"" for their 2016 end-of-year vacation option?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,4,all good,Data Set #3-16 report - Frank Stimson.csv -Q4,"How many employees opted for ""R = roll over"" for their 2016 end-of-year personal days option?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,5,all good,Data Set #3-16 report - Frank Stimson.csv -Q5,"How many employees opted for ""R = roll over"" for their 2016 end-of-year vacation option?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,6,all good,Data Set #3-16 report - Frank Stimson.csv -Q6,"How many employees selected ""N = can't roll or cash"" for their 2016 end-of-year personal days option?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,7,all good,Data Set #3-16 report - Frank Stimson.csv -Q7,"How many employees selected ""N = can't roll or cash"" for their 2016 end-of-year vacation option?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,8,all good,Data Set #3-16 report - Frank Stimson.csv -Q8,How many employees will have paid off the garnishment amount in 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-16 report - Frank Stimson.csv,9,all good,Data Set #3-16 report - Frank Stimson.csv -Q9,How many employees will have paid off the garnishment amount in 2018?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-16 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,1,all good,Data Set #3-17 report - Frank Stimson.csv -Q1,"Have any of the status code 3 or new hires been late in 2016? (Length of employment is under 1, days late)",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,10,all good,Data Set #3-17 report - Frank Stimson.csv -Q10,How many employees want to cash out their unused vacation days for 2016 in the last payroll? (End of Year Option C = Cash out),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,11,all good,Data Set #3-17 report - Frank Stimson.csv -Q11,How many employees want to roll over their unused personal days for 2016 into 2017? (Endo of Year Options Personal R = Roll over),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,12,all good,Data Set #3-17 report - Frank Stimson.csv -Q12,How many employees want to roll over their unused vacation days for 2016 into 2017? (End of Year for Vacation R = Roll over),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,13,all good,Data Set #3-17 report - Frank Stimson.csv -Q13,How many hourly employees are required to take 2 15-minute breaks in 2016? (Breaks 2 15 minute = Y-2),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,14,all good,Data Set #3-17 report - Frank Stimson.csv -Q14,How many hourly employees are required to take 4 15-minute breaks in 2016? (Breaks 4 15 minute = Y-4),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,15,all good,Data Set #3-17 report - Frank Stimson.csv -Q15,"If any of the status code 3 or new hires have been late, how many times in 2016?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,2,all good,Data Set #3-17 report - Frank Stimson.csv -Q2,How many employees are new hires in 2016? ( Length of employment is under 1),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,3,all good,Data Set #3-17 report - Frank Stimson.csv -Q3,How many employees are on salary in 2016? (Type of pay Salary = S),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,4,all good,Data Set #3-17 report - Frank Stimson.csv -Q4,How many employees are paid a salary and bonus in 2016? (Type of Pay Salary & Bonus = SC),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,5,all good,Data Set #3-17 report - Frank Stimson.csv -Q5,How many employees are paid by the hour in 2016? (Type of Pay Hourly = H),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,6,all good,Data Set #3-17 report - Frank Stimson.csv -Q6,"How many employees can have overtime in 2016? (over time ""No"" = N",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,7,all good,Data Set #3-17 report - Frank Stimson.csv -Q7,How many employees have been late between 10-20 times in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,8,all good,Data Set #3-17 report - Frank Stimson.csv -Q8,How many employees have been late between 5 -9 times in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-17 report - Frank Stimson.csv,9,all good,Data Set #3-17 report - Frank Stimson.csv -Q9,How many employees want to cash out their unused personal days for 2016 in the last payroll? (End of Year Options Personal  C =cash out),https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-17 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,1,all good,Data Set #3-18 report - Frank Stimson.csv -Q1,"Did any employee head of household earn more than $95,000 in 2016?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,10,all good,Data Set #3-18 report - Frank Stimson.csv -Q10,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,11,all good,Data Set #3-18 report - Frank Stimson.csv -Q11,"What is the Social Security  tax rate for 2016 from the federal W-4 form for singles with income between $80,000 - $149,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,12,all good,Data Set #3-18 report - Frank Stimson.csv -Q12,"What is the Social Security  tax rate for 2016 from the federal W-4 form for singles with income over $150,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,13,all good,Data Set #3-18 report - Frank Stimson.csv -Q13,"What is the Social Security  tax rate for 2016 from the federal W-4 form for singles with income under $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,14,all good,Data Set #3-18 report - Frank Stimson.csv -Q14,Which employee will have the highest Social Security  tax rate for 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,15,all good,Data Set #3-18 report - Frank Stimson.csv -Q15,Which employee will have the lowest Social Security  tax rate for 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,2,all good,Data Set #3-18 report - Frank Stimson.csv -Q2,Was any employee exempt from Social Security tax in 2016?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,3,all good,Data Set #3-18 report - Frank Stimson.csv -Q3,"Was there a different Social Security  tax rate for 2016 for married filing jointly with income above $150,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,4,all good,Data Set #3-18 report - Frank Stimson.csv -Q4,"What is the Social Security  tax rate for 2016 from the federal W-4 form for a head of household with income over $60,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,5,all good,Data Set #3-18 report - Frank Stimson.csv -Q5,"What is the Social Security  tax rate for 2016 from the federal W-4 form for a head of household with income under $60,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,6,all good,Data Set #3-18 report - Frank Stimson.csv -Q6,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,7,all good,Data Set #3-18 report - Frank Stimson.csv -Q7,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing jointly with income under $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,8,all good,Data Set #3-18 report - Frank Stimson.csv -Q8,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #3-18 report - Frank Stimson.csv,9,all good,Data Set #3-18 report - Frank Stimson.csv -Q9,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income over $150,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-18 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,1,all good,Data Set #32 report - Frank Stimson.csv-Q1,"What are salesperson #1 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,10,all good,Data Set #32 report - Frank Stimson.csv-Q10,"What are salesperson #54 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,11,all good,Data Set #32 report - Frank Stimson.csv-Q11,"What are salesperson #57 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,12,all good,Data Set #32 report - Frank Stimson.csv-Q12,"What are salesperson #65 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,13,all good,Data Set #32 report - Frank Stimson.csv-Q13,"What are salesperson #66 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,14,all good,Data Set #32 report - Frank Stimson.csv-Q14,"What are salesperson #67 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,15,all good,Data Set #32 report - Frank Stimson.csv-Q15,"What are salesperson #74 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,2,all good,Data Set #32 report - Frank Stimson.csv-Q2,"What are salesperson #4 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,3,all good,Data Set #32 report - Frank Stimson.csv-Q3,"What are salesperson #14 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,4,all good,Data Set #32 report - Frank Stimson.csv-Q4,"What are salesperson #18 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,5,all good,Data Set #32 report - Frank Stimson.csv-Q5,"What are salesperson #33 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,6,all good,Data Set #32 report - Frank Stimson.csv-Q6,"What are salesperson #38 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,7,all good,Data Set #32 report - Frank Stimson.csv-Q7,"What are salesperson #44 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,8,all good,Data Set #32 report - Frank Stimson.csv-Q8,"What are salesperson #52 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #32 report - Frank Stimson.csv,9,all good,Data Set #32 report - Frank Stimson.csv-Q9,"What are salesperson #53 projected 2016 $, GM $, and GP%?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #32 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,1,all good,Data Set #3-22 report - Frank Stimson.csv -Q1,"Did any NJ employee head of household earn more than $95,000 in 2017?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,10,all good,Data Set #3-22 report - Frank Stimson.csv -Q10,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing separately with income under $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,11,all good,Data Set #3-22 report - Frank Stimson.csv -Q11,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for singles with income between $80,000 - $149,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,12,all good,Data Set #3-22 report - Frank Stimson.csv -Q12,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for singles with income over $150,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,13,all good,Data Set #3-22 report - Frank Stimson.csv -Q13,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for singles with income under $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,14,all good,Data Set #3-22 report - Frank Stimson.csv -Q14,Which employee will have the highest NJ State income tax rate for 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,15,all good,Data Set #3-22 report - Frank Stimson.csv -Q15,Which employee will have the lowest NJ State income tax rate for 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,2,all good,Data Set #3-22 report - Frank Stimson.csv -Q2,Was any NJ employee exempt from New Jersey state taxes in 2017? ,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,3,all good,Data Set #3-22 report - Frank Stimson.csv -Q3,"Was there a different NJ State income tax rate for 2017 for married filing jointly with income above $150,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,4,all good,Data Set #3-22 report - Frank Stimson.csv -Q4,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for a head of household with income over $60,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,6,all good,Data Set #3-22 report - Frank Stimson.csv -Q6,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing jointly with income over $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,7,all good,Data Set #3-22 report - Frank Stimson.csv -Q7,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing jointly with income under $80,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,8,all good,Data Set #3-22 report - Frank Stimson.csv -Q8,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing separately with income between $80,000 - $149,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-22 report - Frank Stimson.csv,9,all good,Data Set #3-22 report - Frank Stimson.csv -Q9,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing separately with income over $150,000?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-22 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,1,all good,Data Set #3-25 report - Frank Stimson.csv -Q1,How many employees do not have medical insurance for 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,10,all good,Data Set #3-25 report - Frank Stimson.csv -Q10,"Of the employees that do not have medical insurance in 2017, what is the percentage of race identifier 5?",https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,11,all good,Data Set #3-25 report - Frank Stimson.csv -Q11,What does a single person pay for medical insurance in 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,12,all good,Data Set #3-25 report - Frank Stimson.csv -Q12,What does the head of household pay for medical insurance in 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,13,all good,Data Set #3-25 report - Frank Stimson.csv -Q13,What does the married filing jointly category pay for medical insurance in 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,14,all good,Data Set #3-25 report - Frank Stimson.csv -Q14,What does the married filing separately category pay for medical insurance in 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,15,all good,Data Set #3-25 report - Frank Stimson.csv -Q15,What is the percentage of employees that do not have medical insurance as a total number of employees for 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
APPROVED,Data Set #3-25 report - Frank Stimson.csv,2,all good,Data Set #3-25 report - Frank Stimson.csv -Q2,How many employees does the company pay for medical insurance for in 2017?,https://github.com/fstimson/html-file-for-report/blob/master/Data Set #3-25 report .html,#N/A
