status_current,tracker_file_name_current,question_number,issues,id,question_current
APPROVED,Data Set #3-15 report - Frank Stimson.csv,5,all good,Data Set #3-15 report - Frank Stimson.csv -Q5,"Of the employees that don't have parking/transit in 2016, what is the percentage of gender id 1?"
APPROVED,Data Set #3-15 report - Frank Stimson.csv,6,all good,Data Set #3-15 report - Frank Stimson.csv -Q6,"Of the employees that don't have parking/transit in 2016, what is the percentage of gender id 2?"
APPROVED,Data Set #3-15 report - Frank Stimson.csv,7,all good,Data Set #3-15 report - Frank Stimson.csv -Q7,"Of the employees that don't have parking/transit in 2016, what is the percentage of race identifier 1?"
APPROVED,Data Set #3-15 report - Frank Stimson.csv,8,all good,Data Set #3-15 report - Frank Stimson.csv -Q8,"Of the employees that don't have parking/transit in 2016, what is the percentage of race identifier 2?"
APPROVED,Data Set #3-15 report - Frank Stimson.csv,9,all good,Data Set #3-15 report - Frank Stimson.csv -Q9,"Of the employees that don't have parking/transit in 2016, what is the percentage of race identifier 3?"
APPROVED,Data Set #3-16 report - Frank Stimson.csv,1,all good,Data Set #3-16 report - Frank Stimson.csv -Q1,How many employees are having their wages garnished in 2016?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,10,all good,Data Set #3-16 report - Frank Stimson.csv -Q10,How many employees will have paid off the garnishment amount in 2019 or later?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,11,all good,Data Set #3-16 report - Frank Stimson.csv -Q11,What was the average deduction in dollars for 2016?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,12,all good,Data Set #3-16 report - Frank Stimson.csv -Q12,What was the average percentage deduction from net salary in 2016?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,13,all good,Data Set #3-16 report - Frank Stimson.csv -Q13,What were the average net wages for 2016 in week 28?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,14,all good,Data Set #3-16 report - Frank Stimson.csv -Q14,What will be the number of vacation days in 2016 forfeited?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,15,all good,Data Set #3-16 report - Frank Stimson.csv -Q15,What will be the number of vacation days in 2016 rolled over to 2017?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,2,all good,Data Set #3-16 report - Frank Stimson.csv -Q2,"How many employees chose ""C= cash out"" for their 2016 end-of-year personal days option?"
APPROVED,Data Set #3-16 report - Frank Stimson.csv,3,all good,Data Set #3-16 report - Frank Stimson.csv -Q3,"How many employees chose ""C= cash out"" for their 2016 end-of-year vacation option?"
APPROVED,Data Set #3-16 report - Frank Stimson.csv,4,all good,Data Set #3-16 report - Frank Stimson.csv -Q4,"How many employees opted for ""R = roll over"" for their 2016 end-of-year personal days option?"
APPROVED,Data Set #3-16 report - Frank Stimson.csv,5,all good,Data Set #3-16 report - Frank Stimson.csv -Q5,"How many employees opted for ""R = roll over"" for their 2016 end-of-year vacation option?"
APPROVED,Data Set #3-16 report - Frank Stimson.csv,6,all good,Data Set #3-16 report - Frank Stimson.csv -Q6,"How many employees selected ""N = can't roll or cash"" for their 2016 end-of-year personal days option?"
APPROVED,Data Set #3-16 report - Frank Stimson.csv,7,all good,Data Set #3-16 report - Frank Stimson.csv -Q7,"How many employees selected ""N = can't roll or cash"" for their 2016 end-of-year vacation option?"
APPROVED,Data Set #3-16 report - Frank Stimson.csv,8,all good,Data Set #3-16 report - Frank Stimson.csv -Q8,How many employees will have paid off the garnishment amount in 2017?
APPROVED,Data Set #3-16 report - Frank Stimson.csv,9,all good,Data Set #3-16 report - Frank Stimson.csv -Q9,How many employees will have paid off the garnishment amount in 2018?
APPROVED,Data Set #3-17 report - Frank Stimson.csv,1,all good,Data Set #3-17 report - Frank Stimson.csv -Q1,"Have any of the status code 3 or new hires been late in 2016? (Length of employment is under 1, days late)"
APPROVED,Data Set #3-17 report - Frank Stimson.csv,10,all good,Data Set #3-17 report - Frank Stimson.csv -Q10,How many employees want to cash out their unused vacation days for 2016 in the last payroll? (End of Year Option C = Cash out)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,11,all good,Data Set #3-17 report - Frank Stimson.csv -Q11,How many employees want to roll over their unused personal days for 2016 into 2017? (Endo of Year Options Personal R = Roll over)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,12,all good,Data Set #3-17 report - Frank Stimson.csv -Q12,How many employees want to roll over their unused vacation days for 2016 into 2017? (End of Year for Vacation R = Roll over)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,13,all good,Data Set #3-17 report - Frank Stimson.csv -Q13,How many hourly employees are required to take 2 15-minute breaks in 2016? (Breaks 2 15 minute = Y-2)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,14,all good,Data Set #3-17 report - Frank Stimson.csv -Q14,How many hourly employees are required to take 4 15-minute breaks in 2016? (Breaks 4 15 minute = Y-4)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,15,all good,Data Set #3-17 report - Frank Stimson.csv -Q15,"If any of the status code 3 or new hires have been late, how many times in 2016?"
APPROVED,Data Set #3-17 report - Frank Stimson.csv,2,all good,Data Set #3-17 report - Frank Stimson.csv -Q2,How many employees are new hires in 2016? ( Length of employment is under 1)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,3,all good,Data Set #3-17 report - Frank Stimson.csv -Q3,How many employees are on salary in 2016? (Type of pay Salary = S)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,4,all good,Data Set #3-17 report - Frank Stimson.csv -Q4,How many employees are paid a salary and bonus in 2016? (Type of Pay Salary & Bonus = SC)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,5,all good,Data Set #3-17 report - Frank Stimson.csv -Q5,How many employees are paid by the hour in 2016? (Type of Pay Hourly = H)
APPROVED,Data Set #3-17 report - Frank Stimson.csv,6,all good,Data Set #3-17 report - Frank Stimson.csv -Q6,"How many employees can have overtime in 2016? (over time ""No"" = N"
APPROVED,Data Set #3-17 report - Frank Stimson.csv,7,all good,Data Set #3-17 report - Frank Stimson.csv -Q7,How many employees have been late between 10-20 times in 2016?
APPROVED,Data Set #3-17 report - Frank Stimson.csv,8,all good,Data Set #3-17 report - Frank Stimson.csv -Q8,How many employees have been late between 5 -9 times in 2016?
APPROVED,Data Set #3-17 report - Frank Stimson.csv,9,all good,Data Set #3-17 report - Frank Stimson.csv -Q9,How many employees want to cash out their unused personal days for 2016 in the last payroll? (End of Year Options Personal  C =cash out)
APPROVED,Data Set #3-18 report - Frank Stimson.csv,1,all good,Data Set #3-18 report - Frank Stimson.csv -Q1,"Did any employee head of household earn more than $95,000 in 2016?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,10,all good,Data Set #3-18 report - Frank Stimson.csv -Q10,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,11,all good,Data Set #3-18 report - Frank Stimson.csv -Q11,"What is the Social Security  tax rate for 2016 from the federal W-4 form for singles with income between $80,000 - $149,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,12,all good,Data Set #3-18 report - Frank Stimson.csv -Q12,"What is the Social Security  tax rate for 2016 from the federal W-4 form for singles with income over $150,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,13,all good,Data Set #3-18 report - Frank Stimson.csv -Q13,"What is the Social Security  tax rate for 2016 from the federal W-4 form for singles with income under $80,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,14,all good,Data Set #3-18 report - Frank Stimson.csv -Q14,Which employee will have the highest Social Security  tax rate for 2016?
APPROVED,Data Set #3-18 report - Frank Stimson.csv,15,all good,Data Set #3-18 report - Frank Stimson.csv -Q15,Which employee will have the lowest Social Security  tax rate for 2016?
APPROVED,Data Set #3-18 report - Frank Stimson.csv,2,all good,Data Set #3-18 report - Frank Stimson.csv -Q2,Was any employee exempt from Social Security tax in 2016?
APPROVED,Data Set #3-18 report - Frank Stimson.csv,3,all good,Data Set #3-18 report - Frank Stimson.csv -Q3,"Was there a different Social Security  tax rate for 2016 for married filing jointly with income above $150,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,4,all good,Data Set #3-18 report - Frank Stimson.csv -Q4,"What is the Social Security  tax rate for 2016 from the federal W-4 form for a head of household with income over $60,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,5,all good,Data Set #3-18 report - Frank Stimson.csv -Q5,"What is the Social Security  tax rate for 2016 from the federal W-4 form for a head of household with income under $60,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,6,all good,Data Set #3-18 report - Frank Stimson.csv -Q6,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,7,all good,Data Set #3-18 report - Frank Stimson.csv -Q7,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing jointly with income under $80,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,8,all good,Data Set #3-18 report - Frank Stimson.csv -Q8,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?"
APPROVED,Data Set #3-18 report - Frank Stimson.csv,9,all good,Data Set #3-18 report - Frank Stimson.csv -Q9,"What is the Social Security  tax rate for 2016 from the federal W-4 form for married filing separately with income over $150,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,1,all good,Data Set #3-19report - Frank Stimson.csv -Q1,"Did any employee head of household earn more than $95,000 in 2016?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,10,all good,Data Set #3-19report - Frank Stimson.csv -Q10,"What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing separately with income under $80,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,11,all good,Data Set #3-19report - Frank Stimson.csv -Q11,"What is the Medicare  tax rate for 2016 from the federal W-4 form for singles with income between $80,000 - $149,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,12,all good,Data Set #3-19report - Frank Stimson.csv -Q12,"What is the Medicare  tax rate for 2016 from the federal W-4 form for singles with income over $150,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,13,all good,Data Set #3-19report - Frank Stimson.csv -Q13,"What is the Medicare  tax rate for 2016 from the federal W-4 form for singles with income under $80,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,14,all good,Data Set #3-19report - Frank Stimson.csv -Q14,Which employee will have the highest Medicare  tax rate for 2016?
REJECTED,Data Set #3-19report - Frank Stimson.csv,15,all good,Data Set #3-19report - Frank Stimson.csv -Q15,Which employee will have the lowest Medicare  tax rate for 2016?
REJECTED,Data Set #3-19report - Frank Stimson.csv,2,all good,Data Set #3-19report - Frank Stimson.csv -Q2,Was any employee exempt from Medicare tax in 2016?
REJECTED,Data Set #3-19report - Frank Stimson.csv,3,all good,Data Set #3-19report - Frank Stimson.csv -Q3,"Was there a different Medicare  tax rate for 2016 for married filing jointly with income above $150,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,4,all good,Data Set #3-19report - Frank Stimson.csv -Q4,"What is the Medicare  tax rate for 2016 from the federal W-4 form for a head of household with income over $60,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,5,all good,Data Set #3-19report - Frank Stimson.csv -Q5,"What is the Medicare  tax rate for 2016 from the federal W-4 form for a head of household with income under $60,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,6,all good,Data Set #3-19report - Frank Stimson.csv -Q6,"What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing jointly with income over $80,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,7,all good,Data Set #3-19report - Frank Stimson.csv -Q7,"What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing jointly with income under $80,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,8,all good,Data Set #3-19report - Frank Stimson.csv -Q8,"What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?"
REJECTED,Data Set #3-19report - Frank Stimson.csv,9,all good,Data Set #3-19report - Frank Stimson.csv -Q9,"What is the Medicare  tax rate for 2016 from the federal W-4 form for married filing separately with income over $150,000?"
APPROVED,Data Set #32 report - Frank Stimson.csv,1,all good,Data Set #32 report - Frank Stimson.csv-Q1,"What are salesperson #1 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,10,all good,Data Set #32 report - Frank Stimson.csv-Q10,"What are salesperson #54 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,11,all good,Data Set #32 report - Frank Stimson.csv-Q11,"What are salesperson #57 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,12,all good,Data Set #32 report - Frank Stimson.csv-Q12,"What are salesperson #65 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,13,all good,Data Set #32 report - Frank Stimson.csv-Q13,"What are salesperson #66 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,14,all good,Data Set #32 report - Frank Stimson.csv-Q14,"What are salesperson #67 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,15,all good,Data Set #32 report - Frank Stimson.csv-Q15,"What are salesperson #74 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,2,all good,Data Set #32 report - Frank Stimson.csv-Q2,"What are salesperson #4 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,3,all good,Data Set #32 report - Frank Stimson.csv-Q3,"What are salesperson #14 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,4,all good,Data Set #32 report - Frank Stimson.csv-Q4,"What are salesperson #18 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,5,all good,Data Set #32 report - Frank Stimson.csv-Q5,"What are salesperson #33 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,6,all good,Data Set #32 report - Frank Stimson.csv-Q6,"What are salesperson #38 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,7,all good,Data Set #32 report - Frank Stimson.csv-Q7,"What are salesperson #44 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,8,all good,Data Set #32 report - Frank Stimson.csv-Q8,"What are salesperson #52 projected 2016 $, GM $, and GP%?"
APPROVED,Data Set #32 report - Frank Stimson.csv,9,all good,Data Set #32 report - Frank Stimson.csv-Q9,"What are salesperson #53 projected 2016 $, GM $, and GP%?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,1,all good,Data Set #3-2 report - Frank Stimson.csv -Q1,"Did any employee head of household earn more than $95,000 in 2016?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,10,all good,Data Set #3-2 report - Frank Stimson.csv -Q10,"What is the NY State income tax rate for 2016 from the IT-2104 form for married filing separately with income under $80,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,11,all good,Data Set #3-2 report - Frank Stimson.csv -Q11,"What is the NY State income tax rate for 2016 from the IT-2104 form for singles with income between $80,000 - $149,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,12,all good,Data Set #3-2 report - Frank Stimson.csv -Q12,"What is the NY State income tax rate for 2016 from the IT-2104 form for singles with income over $150,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,13,all good,Data Set #3-2 report - Frank Stimson.csv -Q13,"What is the NY State income tax rate for 2016 from the IT-2104 form for singles with income under $80,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,14,all good,Data Set #3-2 report - Frank Stimson.csv -Q14,Which employee will have the highest NY State income tax rate for 2016?
REJECTED,Data Set #3-2 report - Frank Stimson.csv,15,all good,Data Set #3-2 report - Frank Stimson.csv -Q15,Which employee will have the lowest NY State income tax rate for 2016?
REJECTED,Data Set #3-2 report - Frank Stimson.csv,2,all good,Data Set #3-2 report - Frank Stimson.csv -Q2,Was any employee exempt from New York state taxes in 2016?
REJECTED,Data Set #3-2 report - Frank Stimson.csv,3,all good,Data Set #3-2 report - Frank Stimson.csv -Q3,"Was there a different NY State income tax rate for 2016 for married filing jointly with income above $150,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,4,all good,Data Set #3-2 report - Frank Stimson.csv -Q4,"What is the NY State income tax rate for 2016 from the IT-2104 form for a head of household with income over $60,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,5,all good,Data Set #3-2 report - Frank Stimson.csv -Q5,"What is the NY State income tax rate for 2016 from the IT-2104 form for a head of household with income under $60,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,6,all good,Data Set #3-2 report - Frank Stimson.csv -Q6,"What is the NY State income tax rate for 2016 from the IT-2104 form for married filing jointly with income over $80,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,7,all good,Data Set #3-2 report - Frank Stimson.csv -Q7,"What is the NY State income tax rate for 2016 from the IT-2104 form for married filing jointly with income under $80,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,8,all good,Data Set #3-2 report - Frank Stimson.csv -Q8,"What is the NY State income tax rate for 2016 from the IT-2104 form for married filing separately with income between $80,000 - $149,000?"
REJECTED,Data Set #3-2 report - Frank Stimson.csv,9,all good,Data Set #3-2 report - Frank Stimson.csv -Q9,"What is the NY State income tax rate for 2016 from the IT-2104 form for married filing separately with income over $150,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,1,all good,Data Set #3-20 report - Frank Stimson.csv -Q1,"Did any employee head of household earn more than $95,000 in 2017?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,10,all good,Data Set #3-20 report - Frank Stimson.csv -Q10,"What is the Federal income tax rate for 2017 from the federal W-4 form for married filing separately with income under $80,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,11,all good,Data Set #3-20 report - Frank Stimson.csv -Q11,"What is the Federal income tax rate for 2017 from the federal W-4 form for singles with income between $80,000 - $149,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,12,all good,Data Set #3-20 report - Frank Stimson.csv -Q12,"What is the Federal income tax rate for 2017 from the federal W-4 form for singles with income over $150,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,13,all good,Data Set #3-20 report - Frank Stimson.csv -Q13,"What is the Federal income tax rate for 2017 from the federal W-4 form for singles with income under $80,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,14,all good,Data Set #3-20 report - Frank Stimson.csv -Q14,Which employee will have the highest federal income tax rate for 2017?
REJECTED,Data Set #3-20 report - Frank Stimson.csv,15,all good,Data Set #3-20 report - Frank Stimson.csv -Q15,Which employee will have the lowest federal income tax rate for 2017?
REJECTED,Data Set #3-20 report - Frank Stimson.csv,2,all good,Data Set #3-20 report - Frank Stimson.csv -Q2,Was any employee exempt from federal taxes in 2017?
REJECTED,Data Set #3-20 report - Frank Stimson.csv,3,all good,Data Set #3-20 report - Frank Stimson.csv -Q3,"Was there a different Federal income tax rate for 2017 for married filing jointly with income about $150,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,4,all good,Data Set #3-20 report - Frank Stimson.csv -Q4,"What is the Federal income tax rate for 2017 from the federal W-4 form for a head of household with income over $60,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,5,all good,Data Set #3-20 report - Frank Stimson.csv -Q5,"What is the Federal income tax rate for 2017 from the federal W-4 form for a head of household with income under $60,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,6,all good,Data Set #3-20 report - Frank Stimson.csv -Q6,"What is the Federal income tax rate for 2017 from the federal W-4 form for married filing jointly with income over $80,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,7,all good,Data Set #3-20 report - Frank Stimson.csv -Q7,"What is the Federal income tax rate for 2017 from the federal W-4 form for married filing jointly with income under $80,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,8,all good,Data Set #3-20 report - Frank Stimson.csv -Q8,"What is the Federal income tax rate for 2017 from the federal W-4 form for married filing separately with income between $80,000 - $149,000?"
REJECTED,Data Set #3-20 report - Frank Stimson.csv,9,all good,Data Set #3-20 report - Frank Stimson.csv -Q9,"What is the Federal income tax rate for 2017 from the federal W-4 form for married filing separately with income over $150,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,1,all good,Data Set #3-21 report - Frank Stimson.csv -Q1,"Did any employee head of household earn more than $95,000 in 2017?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,10,all good,Data Set #3-21 report - Frank Stimson.csv -Q10,"What is the NY State income tax rate for 2017 from the IT-2104 form for married filing separately with income under $80,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,11,all good,Data Set #3-21 report - Frank Stimson.csv -Q11,"What is the NY State income tax rate for 2017 from the IT-2104 form for singles with income between $80,000 - $149,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,12,all good,Data Set #3-21 report - Frank Stimson.csv -Q12,"What is the NY State income tax rate for 2017 from the IT-2104 form for singles with income over $150,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,13,all good,Data Set #3-21 report - Frank Stimson.csv -Q13,"What is the NY State income tax rate for 2017 from the IT-2104 form for singles with income under $80,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,14,all good,Data Set #3-21 report - Frank Stimson.csv -Q14,Which employee will have the highest NY State income tax rate for 2017?
REJECTED,Data Set #3-21 report - Frank Stimson.csv,15,all good,Data Set #3-21 report - Frank Stimson.csv -Q15,Which employee will have the lowest NY State income tax rate for 2017?
REJECTED,Data Set #3-21 report - Frank Stimson.csv,2,all good,Data Set #3-21 report - Frank Stimson.csv -Q2,Was any employee exempt from New York state taxes in 2017?
REJECTED,Data Set #3-21 report - Frank Stimson.csv,3,all good,Data Set #3-21 report - Frank Stimson.csv -Q3,"Was there a different NY State income tax rate for 2017 for married filing jointly with income above $150,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,4,all good,Data Set #3-21 report - Frank Stimson.csv -Q4,"What is the NY State income tax rate for 2017 from the IT-2104 form for a head of household with income over $60,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,5,all good,Data Set #3-21 report - Frank Stimson.csv -Q5,"What is the NY State income tax rate for 2017 from the IT-2104 form for a head of household with income under $60,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,6,all good,Data Set #3-21 report - Frank Stimson.csv -Q6,"What is the NY State income tax rate for 2017 from the IT-2104 form for married filing jointly with income over $80,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,7,all good,Data Set #3-21 report - Frank Stimson.csv -Q7,"What is the NY State income tax rate for 2017 from the IT-2104 form for married filing jointly with income under $80,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,8,all good,Data Set #3-21 report - Frank Stimson.csv -Q8,"What is the NY State income tax rate for 2017 from the IT-2104 form for married filing separately with income between $80,000 - $149,000?"
REJECTED,Data Set #3-21 report - Frank Stimson.csv,9,all good,Data Set #3-21 report - Frank Stimson.csv -Q9,"What is the NY State income tax rate for 2017 from the IT-2104 form for married filing separately with income over $150,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,1,all good,Data Set #3-22 report - Frank Stimson.csv -Q1,"Did any NJ employee head of household earn more than $95,000 in 2017?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,10,all good,Data Set #3-22 report - Frank Stimson.csv -Q10,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing separately with income under $80,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,11,all good,Data Set #3-22 report - Frank Stimson.csv -Q11,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for singles with income between $80,000 - $149,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,12,all good,Data Set #3-22 report - Frank Stimson.csv -Q12,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for singles with income over $150,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,13,all good,Data Set #3-22 report - Frank Stimson.csv -Q13,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for singles with income under $80,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,14,all good,Data Set #3-22 report - Frank Stimson.csv -Q14,Which employee will have the highest NJ State income tax rate for 2017?
APPROVED,Data Set #3-22 report - Frank Stimson.csv,15,all good,Data Set #3-22 report - Frank Stimson.csv -Q15,Which employee will have the lowest NJ State income tax rate for 2017?
APPROVED,Data Set #3-22 report - Frank Stimson.csv,2,all good,Data Set #3-22 report - Frank Stimson.csv -Q2,Was any NJ employee exempt from New Jersey state taxes in 2017? 
APPROVED,Data Set #3-22 report - Frank Stimson.csv,3,all good,Data Set #3-22 report - Frank Stimson.csv -Q3,"Was there a different NJ State income tax rate for 2017 for married filing jointly with income above $150,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,4,all good,Data Set #3-22 report - Frank Stimson.csv -Q4,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for a head of household with income over $60,000?"
REJECTED,Data Set #3-22 report - Frank Stimson.csv,5,all good,Data Set #3-22 report - Frank Stimson.csv -Q5,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for a head of household with income under $60,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,6,all good,Data Set #3-22 report - Frank Stimson.csv -Q6,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing jointly with income over $80,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,7,all good,Data Set #3-22 report - Frank Stimson.csv -Q7,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing jointly with income under $80,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,8,all good,Data Set #3-22 report - Frank Stimson.csv -Q8,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing separately with income between $80,000 - $149,000?"
APPROVED,Data Set #3-22 report - Frank Stimson.csv,9,all good,Data Set #3-22 report - Frank Stimson.csv -Q9,"What is the NJ State income tax rate for 2017 from the NJ-W4 form for married filing separately with income over $150,000?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,1,all good,Data Set #3-23 report - Frank Stimson.csv -Q1,"Did any CT employee head of household earn more than $95,000 in 2017?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,10,all good,Data Set #3-23 report - Frank Stimson.csv -Q10,"What is the CT State income tax rate for 2017 from the CT-W4 form for married filing separately with income over $150,000?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,11,all good,Data Set #3-23 report - Frank Stimson.csv -Q11,"What is the CT State income tax rate for 2017 from the CT-W4 form for married filing separately with income under $80,000?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,12,all good,Data Set #3-23 report - Frank Stimson.csv -Q12,"What is the CT State income tax rate for 2017 from the CT-W4 form for singles with income between $80,000 - $149,000?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,13,all good,Data Set #3-23 report - Frank Stimson.csv -Q13,"What is the CT State income tax rate for 2017 from the CT-W4 form for singles with income over $150,000?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,14,all good,Data Set #3-23 report - Frank Stimson.csv -Q14,"What is the CT State income tax rate for 2017 from the CT-W4 form for singles with income under $80,000?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,15,all good,Data Set #3-23 report - Frank Stimson.csv -Q15,Which employee will have the lowest CT State income tax rate for 2017?
REJECTED,Data Set #3-23 report - Frank Stimson.csv,2,all good,Data Set #3-23 report - Frank Stimson.csv -Q2,"Does CT have additional taxes for income above $100,000?"
REJECTED,Data Set #3-23 report - Frank Stimson.csv,3,all good,Data Set #3-23 report - Frank Stimson.csv -Q3,Was any employee exempt from CT state taxes in 2017?
